Date,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,Weather,Month,Weather_Label,Target_Next_Day_Label
2009-04-08,0.5916152394739356,0.07759518569224134,-0.04581498765797105,-0.0670285618453894,-0.5663251087222861,-0.8866800208467216,-0.043083617838275856,-0.04222636706614617,,Partly cloudy,4,13,13.0
2009-04-09,0.6634651522782635,0.4961926021202475,-0.19325272817186143,-0.19600454521666816,-0.35805325977349634,-0.6941738619205431,-0.41940370385541625,-0.3432235139122121,,Partly cloudy,4,13,0.0
2009-04-10,0.6634651522782635,0.7054913103342506,-0.5618470794565874,-0.6603180853532716,-0.29396961394309945,-0.6701105920547709,-0.37979106322203304,-0.4034229432814253,,Clear,4,0,13.0
2009-04-11,1.0945646291042315,0.9671146956017544,-0.9304414307413134,-1.0730412321413636,-0.21386505665510333,-0.7182371317863154,-0.35338263613311094,-0.22282465517378575,,Partly cloudy,4,13,13.0
2009-04-12,0.8071649778869195,1.019439372655255,-1.1147386063836764,-1.0988364288156194,0.7313687193432505,-0.1286870200748938,0.1417753717841791,-0.22282465517378575,,Partly cloudy,4,13,13.0
2009-04-13,-0.27058371417800037,0.4438679250667467,-1.0041603009982587,-1.047246035467108,0.026448615208884894,0.8218121396231125,0.009733236339568413,-0.8248189488659177,,Partly cloudy,4,13,13.0
2009-04-14,0.37606550106095155,0.9671146956017544,-1.151598041512149,-1.1762220188383867,0.1546159068696787,0.6413376156298202,-0.17512575328288651,-0.945217807604344,,Partly cloudy,4,13,16.0
2009-04-15,0.23236567545229558,1.1240887267622568,-1.4833329576684025,-1.434173985580944,0.779431453716048,0.7255590601600233,-0.4524142377165689,-0.22282465517378575,,Patchy rain possible,4,16,17.0
2009-04-16,0.3042155882566236,0.9147900185482536,-0.7092848199704778,-0.6861132820275274,-0.0376350306215119,0.5932110758982755,-0.6438753341112544,-0.6442206607582781,,Sunny,4,17,0.0
2009-04-17,0.7353150650825915,1.4380367890832613,-0.7092848199704778,-0.737703675376039,-0.35805325977349634,0.01569259911974006,-1.059808060761778,-1.0054172369735572,,Clear,4,0,0.0
